County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
St. Clair,Alabama,83593,1676,632758427.7
Tallapoosa,Alabama,41616,1985,543820373.9
Bacon,Georgia,11096,742,853891178.5
Brantley,Georgia,18411,1157,1193465616
Camden,Georgia,50513,1658,1234326633
Douglas,Georgia,132403,514,20169520.5
Cherokee,Georgia,214346,1123,46044210.48
Greene,Illinois,13886,1409,1637190999
Jersey,Illinois,22985,970,815603955.2
Jackson,Illinois,60218,1561,1182400368
Johnson,Illinois,12582,907,350334981.6
Alexander,Illinois,8238,663,408202079.2
Monroe,Illinois,32957,1026,991319559.1
Richland,Illinois,16233,941,1276139078
Christian,Illinois,34800,1860,2554050752
Jackson,Indiana,42376,1328,1217262033
Perry,Indiana,19338,1013,110611209
Crawford,Indiana,10713,815,26440009.02
Marion,Indiana,903393,1045,375691457.2
Harrison,Iowa,14928,1806,896729299.7
Pottawattamie,Iowa,93158,2473,900784670.7
Fremont,Iowa,7441,1338,935686920.6
Clinton,Iowa,49116,1833,1705949676
Des Moines,Iowa,40325,1115,1169356181
Lee,Iowa,35862,1397,1370927486
Monona,Iowa,9243,1811,1443678488
Scott,Iowa,165224,1214,1219298998
Muscatine,Iowa,42745,1168,1269173150
Sioux,Iowa,33704,1993,2176387273
Ellis,Kansas,28452,2338,3045135717
Shawnee,Kansas,177934,1432,1290619479
Muhlenberg,Kentucky,31499,1244,553082439.3
Breckinridge,Kentucky,20059,1511,328781337.7
Monroe,Michigan,152021,1450,1591825768
Delta,Michigan,37069,3069,1573692657
Oceana,Michigan,26570,1407,988873306
Ingham,Michigan,280895,1457,1346338941
Goodhue,Minnesota,46183,2022,1374305412
Ramsey,Minnesota,508640,434,15410624.12
Scott,Minnesota,129928,949,805778294.1
Beltrami,Minnesota,44442,7929,5159969274
Koochiching,Minnesota,13311,8149,4233397876
Lake of the Woods,Minnesota,4045,4592,1977838258
Hennepin,Minnesota,1152425,1583,543212100.7
Cass,Minnesota,28567,6239,5489106532
Yellow Medicine,Minnesota,10438,1983,2609826059
Clay,Minnesota,58999,2734,3491607866
Attala,Mississippi,19564,1926,1479815518
Jefferson Davis,Mississippi,12487,1061,948121378.8
Clinton,Missouri,20743,1090,1047782802
Livingston,Missouri,15195,1396,1395103521
Clark,Missouri,7139,1332,1274113053
Shannon,Missouri,8441,2606,360503613
Otoe,Nebraska,15740,1604,793920219.6
Saunders,Nebraska,20780,1959,1702269134
Butler,Nebraska,8395,1513,1693499736
Colfax,Nebraska,10515,1091,895946105.1
Lincoln,Nebraska,36288,6671,6621662983
Quay,New Mexico,9041,7457,12752562130
Chemung,New York,88830,1059,70252339.48
Jefferson,New York,116229,3323,2457476549
Tioga,New York,51125,1354,83880618.38
Morton,North Dakota,27471,5048,2650933749
Sioux,North Dakota,4153,2936,2189686535
Emmons,North Dakota,3550,4021,3791546092
Kidder,North Dakota,2435,3713,3970397029
Stutsman,North Dakota,21100,5956,6612706500
Benson,North Dakota,6660,3706,4155156661
Traill,North Dakota,8121,2229,3450562412
Ward,North Dakota,61675,5327,6381129130
Cass,North Dakota,149778,4590,6974667843
Ramsey,North Dakota,11451,3372,3953765913
McHenry,North Dakota,5395,4936,6286169840
McLean,North Dakota,8962,6029,6073964558
Meigs,Ohio,23770,1133,30341535.28
Adams,Ohio,28550,1524,482268952.4
Greene,Ohio,161573,1079,1026532351
Ashtabula,Ohio,101497,1842,1992112188
Cherokee,Oklahoma,46987,2018,704052271.2
Noble,Oklahoma,11561,1921,2471341022
Rogers,Oklahoma,86905,1849,1984356884
Marshall,Oklahoma,15840,1104,866537043.4
Oklahoma,Oklahoma,718633,1860,852765905.1
Creek,Oklahoma,69967,2535,1200963306
Hughes,Oklahoma,14003,2108,1618434804
McCurtain,Oklahoma,33151,4915,3466092543
Kiowa,Oklahoma,9446,2672,4031278182
Deschutes,Oregon,157733,7918,5471866195
Umatilla,Oregon,75889,8389,2372723723
Morrow,Oregon,11173,5300,2162548955
Yamhill,Oregon,99193,1865,615909833
Douglas,Oregon,107667,13085,307839174.6
Indiana,Pennsylvania,88880,2169,65403995.08
Meade,South Dakota,25434,9017,6781117858
Shannon,South Dakota,13586,5399,2647192392
Ziebach,South Dakota,2801,5114,3376762512
Sully,South Dakota,1373,2786,3876152764
Harding,South Dakota,1255,6911,5809336561
Pennington,South Dakota,100948,7193,3616829975
Henry,Tennessee,32330,1537,1147778465
Decatur,Tennessee,11757,890,353537432.8
Franklin,Tennessee,41052,1485,933426052.2
Overton,Tennessee,22083,1126,142101385.5
Pickett,Tennessee,5077,458,14618016.8
Obion,Tennessee,31807,1444,1502775338
Blount,Tennessee,123010,1469,228554830.9
McMinn,Tennessee,52266,1120,302412303
Colorado,Texas,20874,2526,3740162276
Val Verde,Texas,48879,8397,3673854306
Live Oak,Texas,11531,2777,3692931933
Wilbarger,Texas,13535,2543,4232113693
Tom Green,Texas,110224,4013,5060184673
Navarro,Texas,47735,2804,3853593065
El Paso,Texas,800647,2630,2880162783
Hudspeth,Texas,3476,11830,13291907900
Burleson,Texas,17187,1746,2276438883
Hays,Texas,157107,1745,836161232
Denton,Texas,662614,2464,2583942375
Coleman,Texas,8895,3356,4327722670
Bell,Texas,310235,2817,2811510428
Kinney,Texas,3598,3548,4021236166
Aransas,Texas,23158,874,365522981.8
San Patricio,Texas,64804,1820,2608447845
Delta,Texas,5231,731,1075010519
Bowie,Texas,92565,2383,2790078611
Burnet,Texas,42750,2656,1951243177
Van Zandt,Texas,52579,2237,2618317116
Loving,Texas,82,1753,3053228967
Lee,Texas,16612,1649,2084964501
Hidalgo,Texas,774769,4138,6170857596
Titus,Texas,32334,1080,1078199550
Polk,Texas,45413,2849,1943212612
Camp,Texas,12401,509,427488716.3
McLennan,Texas,234906,2756,3422887449
Medina,Texas,46006,3461,3975058832
Tarrant,Texas,1809034,2316,1012582749
Collin,Texas,782341,2293,2234012807
Madison,Texas,13664,1227,1637572763
Waller,Texas,43205,1339,1946302548
Lavaca,Texas,19263,2516,3500935658
Trinity,Texas,14585,1857,2131065527
Upshur,Texas,39309,1546,791832246.1
Foard,Texas,1336,1832,2658476748
Brown,Texas,38106,2494,2952057120
Travis,Texas,1024266,2673,1279075005
Caldwell,Texas,38066,1423,1751893911
Ellis,Texas,149610,2463,3302483209
Brazos,Texas,194851,1525,1961737310
Grimes,Texas,26604,2077,2462697494
Ward,Texas,10658,2146,3848545490
Danville,Virginia,43055,114,27016245.32
Lancaster,Virginia,11391,344,350535164
Norfolk,Virginia,242803,143,0
