County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
St. Clair,Alabama,83593,1676,5445112.5
Tallapoosa,Alabama,41616,1985,4367321.58
Bacon,Georgia,11096,742,3469373.53
Brantley,Georgia,18411,1157,9908300.19
Camden,Georgia,50513,1658,4630864.38
Douglas,Georgia,132403,514,2228126.94
Cherokee,Georgia,214346,1123,3951201.68
Greene,Illinois,13886,1409,13594637.37
Jersey,Illinois,22985,970,6443441.82
Jackson,Illinois,60218,1561,10584345.8
Johnson,Illinois,12582,907,879242.76
Alexander,Illinois,8238,663,3127055.18
Monroe,Illinois,32957,1026,9402038
Richland,Illinois,16233,941,4992860
Christian,Illinois,34800,1860,24804398.5
Jackson,Indiana,42376,1328,12392641.33
Perry,Indiana,19338,1013,1983883.62
Crawford,Indiana,10713,815,3441309.19
Marion,Indiana,903393,1045,17253942.14
Harrison,Iowa,14928,1806,21100234.34
Pottawattamie,Iowa,93158,2473,32980002.06
Fremont,Iowa,7441,1338,15780616.07
Clinton,Iowa,49116,1833,27397939.55
Des Moines,Iowa,40325,1115,10318467.04
Lee,Iowa,35862,1397,9820566.74
Monona,Iowa,9243,1811,19649084.3
Scott,Iowa,165224,1214,18205765.95
Muscatine,Iowa,42745,1168,14971199.05
Sioux,Iowa,33704,1993,43067132.5
Ellis,Kansas,28452,2338,4646843.24
Shawnee,Kansas,177934,1432,6332631.39
Muhlenberg,Kentucky,31499,1244,6510165.71
Breckinridge,Kentucky,20059,1511,10139510.87
Monroe,Michigan,152021,1450,12129795.03
Delta,Michigan,37069,3069,3929814.63
Oceana,Michigan,26570,1407,4417941.3
Ingham,Michigan,280895,1457,13731939.02
Goodhue,Minnesota,46183,2022,27342241.17
Ramsey,Minnesota,508640,434,11725538.99
Scott,Minnesota,129928,949,9650882.38
Beltrami,Minnesota,44442,7929,12932761.24
Koochiching,Minnesota,13311,8149,16160094.05
Lake of the Woods,Minnesota,4045,4592,3830102.46
Hennepin,Minnesota,1152425,1583,23535658.43
Cass,Minnesota,28567,6239,8516427.14
Yellow Medicine,Minnesota,10438,1983,23994787.47
Clay,Minnesota,58999,2734,29457201.78
Attala,Mississippi,19564,1926,2969905.48
Jefferson Davis,Mississippi,12487,1061,1399447.06
Clinton,Missouri,20743,1090,3501588.65
Livingston,Missouri,15195,1396,5123514.23
Clark,Missouri,7139,1332,5791920.53
Shannon,Missouri,8441,2606,9103868.77
Otoe,Nebraska,15740,1604,12648031.1
Saunders,Nebraska,20780,1959,22036269.18
Butler,Nebraska,8395,1513,17789795.83
Colfax,Nebraska,10515,1091,12290003.89
Lincoln,Nebraska,36288,6671,27073993
Quay,New Mexico,9041,7457,251853.66
Chemung,New York,88830,1059,4087386.7
Jefferson,New York,116229,3323,4689145.61
Tioga,New York,51125,1354,1464134.92
Morton,North Dakota,27471,5048,13905001.54
Sioux,North Dakota,4153,2936,2488145.6
Emmons,North Dakota,3550,4021,12865586.28
Kidder,North Dakota,2435,3713,6892362.29
Stutsman,North Dakota,21100,5956,39202364.23
Benson,North Dakota,6660,3706,19229902.85
Traill,North Dakota,8121,2229,24015093.57
Ward,North Dakota,61675,5327,25401614.15
Cass,North Dakota,149778,4590,56311045.81
Ramsey,North Dakota,11451,3372,19819893.86
McHenry,North Dakota,5395,4936,12424346.4
McLean,North Dakota,8962,6029,23571419.66
Meigs,Ohio,23770,1133,1135099.16
Adams,Ohio,28550,1524,3391999
Greene,Ohio,161573,1079,10200119.25
Ashtabula,Ohio,101497,1842,7717734.87
Cherokee,Oklahoma,46987,2018,860798.68
Noble,Oklahoma,11561,1921,3274224.52
Rogers,Oklahoma,86905,1849,1564875.66
Marshall,Oklahoma,15840,1104,334655.29
Oklahoma,Oklahoma,718633,1860,12981886.71
Creek,Oklahoma,69967,2535,1063756.84
Hughes,Oklahoma,14003,2108,623708.47
McCurtain,Oklahoma,33151,4915,24763204.9
Kiowa,Oklahoma,9446,2672,7959948.79
Deschutes,Oregon,157733,7918,6813263.45
Umatilla,Oregon,75889,8389,23571048.45
Morrow,Oregon,11173,5300,6899359.9
Yamhill,Oregon,99193,1865,31128464.64
Douglas,Oregon,107667,13085,91055998.5
Indiana,Pennsylvania,88880,2169,8097442.7
Meade,South Dakota,25434,9017,2048441.04
Shannon,South Dakota,13586,5399,954305.72
Ziebach,South Dakota,2801,5114,1638561.73
Sully,South Dakota,1373,2786,18853622.47
Harding,South Dakota,1255,6911,898252.22
Pennington,South Dakota,100948,7193,15838300.52
Henry,Tennessee,32330,1537,8800933.61
Decatur,Tennessee,11757,890,2520525.43
Franklin,Tennessee,41052,1485,4435303.4
Overton,Tennessee,22083,1126,3608051.76
Pickett,Tennessee,5077,458,663207.27
Obion,Tennessee,31807,1444,14419603.98
Blount,Tennessee,123010,1469,2628365.9
McMinn,Tennessee,52266,1120,11220117.69
Colorado,Texas,20874,2526,2924105.46
Val Verde,Texas,48879,8397,704617.39
Live Oak,Texas,11531,2777,277659.83
Wilbarger,Texas,13535,2543,3427195.13
Tom Green,Texas,110224,4013,5392262.72
Navarro,Texas,47735,2804,3795642.11
El Paso,Texas,800647,2630,16190439.66
Hudspeth,Texas,3476,11830,232871.65
Burleson,Texas,17187,1746,1998853.51
Hays,Texas,157107,1745,3175740.41
Denton,Texas,662614,2464,12271486.48
Coleman,Texas,8895,3356,1233302.33
Bell,Texas,310235,2817,10203362.37
Kinney,Texas,3598,3548,109119.01
Aransas,Texas,23158,874,309642.5
San Patricio,Texas,64804,1820,8133783.6
Delta,Texas,5231,731,1300318.01
Bowie,Texas,92565,2383,9059948.63
Burnet,Texas,42750,2656,648159.65
Van Zandt,Texas,52579,2237,860252.33
Loving,Texas,82,1753,952.65
